Article DOI,Phage Name,Phage Genome Accession/Bioproject,Phage Genome size (bp),Phage GC content (%),Phage TEM shows structural similarity with,Phage TEM dimensions/Capsid morphology,Phage Taxonomy,Phage type: Lytic/ Lysogenic/ Engineered,Place of Sample collection,Phage isolation Sample,Host Bacterial Species,Experimental / Challenge Host,Phage's Plaque characteristics/Shape,Optimal MOI,Latent period (min),Burst size (phage/infected bacterium),Optimal Temperature (°C),Optimal pH
"10.4103/ijmr.IJMR_355_21","AIIMS-Ab-A4","Not reported","Not reported","Not reported","Caudovirales","Hexagonal head (57.66±1.11 nm) and long tail (151.74±1.15 nm)","Caudovirales","Lytic","Parmat Ghat, Kanpur, Uttar Pradesh","Ganga water","Acinetobacter baumannii","Acinetobacter baumannii AIIMS-17","Circular clear plaques of 1-2 mm in diameter","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.4103/ijmr.IJMR_355_21","AIIMS-Ab-A5","Not reported","Not reported","Not reported","Caudovirales","Hexagonal head (64.08±1.21 nm) and long tail (192.43±2.21 nm)","Caudovirales","Lytic","Bhairav Ghat, Kanpur, Uttar Pradesh","Ganga water","Acinetobacter baumannii","Acinetobacter baumannii AIIMS-17","Circular clear plaques of 1-2 mm in diameter","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.4103/ijmr.IJMR_355_21","AIIMS-Ab-A6","Not reported","Not reported","Not reported","Caudovirales","AIIMS-Ab-A6-(A): Head 66.03±0.84 nm, Tail 208.66±7.02 nm; AIIMS-Ab-A6-(B): Head 67.36±1.18 nm, Tail 154.63±0.53 nm","Caudovirales","Lytic","Gola Ghat, Kanpur, Uttar Pradesh","Ganga water","Acinetobacter baumannii","Acinetobacter baumannii AIIMS-17","Circular clear plaques of 1-2 mm in diameter","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.4103/ijmr.IJMR_355_21","AIIMS-Ab-A7","Not reported","Not reported","Not reported","Caudovirales","Hexagonal head (64.51±0.69 nm) and long tail (146.58±2.42 nm)","Caudovirales","Lytic","Sarsaiya Ghat, Kanpur, Uttar Pradesh","Ganga water","Acinetobacter baumannii","Acinetobacter baumannii AIIMS-17","Circular clear plaques of 1-2 mm in diameter","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.4103/ijmr.IJMR_355_21","AIIMS-Ab-A8-1","Not reported","Not reported","Not reported","Caudovirales","Hexagonal head (58.94±0.76 nm) and long tail (142.46±1.83 nm)","Caudovirales","Lytic","Bhagwatdas Ghat, Kanpur, Uttar Pradesh","Ganga water","Acinetobacter baumannii","Acinetobacter baumannii AIIMS-17","Circular clear plaques of 1-2 mm in diameter","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.4103/ijmr.IJMR_355_21","AIIMS-Ab-A8-2","Not reported","Not reported","Not reported","Caudovirales","Hexagonal head (73.67±0.43 nm) and long tail (144.92±0.56 nm)","Caudovirales","Lytic","Bhagwatdas Ghat, Kanpur, Uttar Pradesh","Ganga water","Acinetobacter baumannii","Acinetobacter baumannii AIIMS-17","Circular clear plaques of 1-2 mm in diameter","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.4103/ijmr.IJMR_355_21","AIIMS-Ab-A8-3","Not reported","Not reported","Not reported","Caudovirales","Hexagonal head (69.83±0.52 nm) and long tail (147.78±2.51 nm)","Caudovirales","Lytic","Bhagwatdas Ghat, Kanpur, Uttar Pradesh","Ganga water","Acinetobacter baumannii","Acinetobacter baumannii AIIMS-17","Circular clear plaques of 1-2 mm in diameter","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.1128/mra.01209-23","TANUVAS_MVC-VPHSA1","Not reported","50,505 bp","41.4%","Not reported","icosahedral-shaped heads and non-contractile, flexible tails; head diameter 50–55nm","Caudoviricetes","Lytic","Chennai, India","Hospital treatment plant","Staphylococcus aureus","Staphylococcus aureus strain ATCC 25923","irregular corrugated","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.1128/mra.01209-23","TANUVAS_MVC-VPHSA2","Not reported","50,516 bp","41.4%","Not reported","icosahedral-shaped heads and non-contractile, flexible tails; head diameter 60–65nm","Caudoviricetes","Lytic","Chennai, India","Slaughter house treatment plant","Staphylococcus aureus","Staphylococcus aureus strain ATCC 25923","clear round","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.3389/fmicb.2024.1391777","vB_SalP_792","OR978128","37,281","51%","T7-like morphotype","icosahedral head of approximately 45 ± 5.0 nm in diameter and a very short tail","Autographiviridae family, unclassified Kayfunavirus genus","Lytic","Vellore area (12°58′12.2″ N 79°09′33.9″ E)","sewage water","Salmonella enterica","Sal_01","round, lytic, and have a diameter of 5 mm","0.0001 to 100","5-7","50","40","7"
"10.3389/fmicb.2024.1397447","MKP-1","PP627509","49,781","51.05","siphovirus","hexagonal head of ~65 nm in length and ~55 nm in width, attached to a long non-contractile tail of length ~170 nm and breath of ~5 nm","class Caudoviricetes, Webevirus family","Lytic","Mithi River, Mumbai","sewage sample","Klebsiella pneumoniae","Klebsiella pneumoniae strain MTCC 618","clear, big, round plaque, approximately 3.5 mm in diameter","10","40","260","37","3–12"
"10.1111/j.1574-6968.1995.tb07756.x","φ O139","Not reported","35000","58.8","Not reported","polyhedral head 65 nm in diameter and a rigid contractile tail 120 nm in length","Myoviridae family, species Kappa, morphotype A1","Temperate","Different parts of the Indian subcontinent","Vibrio cholerae O139","Vibrio cholerae","V. cholerae O139, B02 strain","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.1590/S1517-838220120001000042","Phage #5","Not reported","80000","Not reported","T4 bacteriophage","84nm","Not reported","Lytic","Sewage treatment plant located in Sulur, Coimbatore, India","Sewage","Pseudomonas fluorescens","Pfsw-13, Pfsw-15","2 mm, clear","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.1590/S1517-838220120001000042","Phage #1","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Lytic","Sewage treatment plant, Sulur, Coimbatore, India","Sewage","Pseudomonas fluorescens","Pfsw-13, Pfsw-15","2 mm, clear","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.1590/S1517-838220120001000042","Phage #2","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Lytic","Sewage treatment plant, Sulur, Coimbatore, India","Sewage","Pseudomonas fluorescens","Pfsw-13, Pfsw-15","5 mm, turbid","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.1590/S1517-838220120001000042","Phage #3","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Lytic","Sewage treatment plant, Sulur, Coimbatore, India","Sewage","Pseudomonas fluorescens","Pfsw-13, Pfsw-15","3 mm, turbid","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.1590/S1517-838220120001000042","Phage #4","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Lytic","Sewage treatment plant, Sulur, Coimbatore, India","Sewage","Pseudomonas fluorescens","Pfsw-13, Pfsw-15","1 mm, clear","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.1590/S1517-838220120001000042","Phage #6","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Lytic","Sewage treatment plant, Sulur, Coimbatore, India","Sewage","Pseudomonas fluorescens","Pfsw-13, Pfsw-15","2 mm, clear","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.1590/S1517-838220120001000042","Phage #7","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Lytic","Sewage treatment plant, Sulur, Coimbatore, India","Sewage","Pseudomonas fluorescens","Pfsw-13, Pfsw-15","1 mm, clear","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.1371/journal.pone.0108376","Salmonella phage phi68","KJ475444 (Lys68 gene)","Not reported","Not reported","Not reported","Not reported","Salmonella phage","Lytic","Poultry farm (Braga, Portugal)","Faeces","Salmonella enterica serovar Typhimurium LT2","E. coli BL21(DE3)","Not reported","Not reported","Not reported","Not reported","37°C","7.0"
"10.1128/mSphere.01215-20","vB_Pae_AM.P2","GenBank accession no. MT416090; BioProject no. PRJNA629366","73,308","53.54","Podoviridae","716 Å and 235 Å","Podoviridae","Lytic","Kollam, Kerala, India","sewage wastewater","Pseudomonas aeruginosa","PAO1","5-mm diameter with clear centers and turbid edges","10","20","Not reported","37","Not reported"
"Not reported","lambda lysogen cI857tsSam7","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Lysogenic","Not reported","Not reported","Escherichia coli","Escherichia coli","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.3390/v13122365","Escherichia virus spp.","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Tocantins, Maranhão, and Pará, Brazil","Human fecal samples","Escherichia","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.3390/v13122365","Lactococcus virus spp.","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Tocantins, Maranhão, and Pará, Brazil","Human fecal samples","Lactococcus","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.3390/v13122365","Streptococcus virus spp.","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Tocantins, Maranhão, and Pará, Brazil","Human fecal samples","Streptococcus","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.1128/MRA.01043-21","Kaya","MZ927745.1","43,067","54","Not reported","Not reported","Siphoviridae","Lytic","Haining, China","Water","Pseudomonas aeruginosa","2081","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.1128/MRA.01043-21","Guyu","MZ927746","43,141","55","Not reported","Not reported","Siphoviridae","Lytic","Haining, China","Water","Pseudomonas aeruginosa","2072","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.1128/MRA.01043-21","Kopi","OK330455.1","42,820","53","Not reported","Not reported","Siphoviridae","Lytic","Haining, China","Water","Pseudomonas aeruginosa","2072","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.1128/MRA.01043-21","TehO","OK330456.1","43,015","54","Not reported","Not reported","Siphoviridae","Lytic","Haining, China","Water","Pseudomonas aeruginosa","2081","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.1016/j.ijbiomac.2017.12.052","• P1
• P3
• P12","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Lytic","Not reported","sewage water","Escherichia coli","E. coli ET","Not reported","Not reported","Not reported","Not reported","37 °C","Not reported"
"10.1016/j.tube.2008.02.007","Che12","DQ398043","Not reported","Not reported","L5, D29 and TM4","isometric and icosahedral","Not reported","temperate","tuberculosis sanatorium area in Chennai, India","soil samples","Mycobacterium tuberculosis","M. smegmatis mc2155","clear on M. smegmatis mc2155 lawn after overnight incubation, turning turbid with the appearance of alternate rings on further incubation","Not reported","Not reported","Not reported","37°C","Not reported"
"10.3389/fmicb.2021.649334","TCUEAP1","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","outlets from the hospitals","Elizabethkingia anophelis","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.3389/fmicb.2021.649334","MIJ3","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Pseudomonas aeruginosa","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.3389/fmicb.2021.649334","DLP3","Not reported","Not reported","Not reported","Not reported","Not reported","Delepquintavirus","Lytic","Not reported","soil","Stenotrophomonas maltophilia","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.3389/fmicb.2021.649334","Mic1","Not reported","Not reported","Not reported","Not reported","long-tailed","cyanophage","Not reported","Lake Chaohu","Not reported","Microcystis aeruginosa","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.3389/fmicb.2021.649334","vB_AbaM_IME285","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Acinetobacter baumannii","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.3389/fmicb.2021.649334","P545","Not reported","Not reported","Not reported","Not reported","Not reported","Myoviridae","Not reported","Not reported","Not reported","Klebsiella pneumoniae","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.3389/fmicb.2021.649334","X1","Not reported","Not reported","Not reported","Not reported","Not reported","Yersinia phage","Not reported","Not reported","Not reported","Yersinia enterocolitica","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.3389/fmicb.2021.649334","vB_EfaS_HEf13","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Lytic","Not reported","Not reported","Enterococcus faecalis","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.3389/fmicb.2021.649334","EspM4VN","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Enterobacter spp.","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported,optimal_temperature_c:"
"10.3389/fmicb.2021.649334","PP99","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Pectobacterium brasiliense","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.3389/fmicb.2021.649334","PP101","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Pectobacterium brasiliense","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.3389/fmicb.2021.649334","D29","Not reported","Not reported","Not reported","Not reported","Not reported","Mycobacteriophage","Not reported","Not reported","Not reported","Mycobacterium tuberculosis","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.1007/s12088-021-00934-6","AMN1, AMN3, PL1, V2, V4, V6","Not reported","5,000–6,000 bp","Not reported","Not reported","Not reported","Not reported","Lytic","Inland saline shrimp culture farms in Punjab and Haryana","Water samples","Vibrio parahaemolyticus","Vibrio parahaemolyticus host isolate Vp25","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.1007/s12088-021-00934-6","AMN2, FT3, KD1","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Lytic","Inland saline shrimp culture farms in Punjab and Haryana","Water samples","Vibrio parahaemolyticus","Vibrio parahaemolyticus host isolate Vp7PE","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.1007/s12088-021-00934-6","FT2, V1","Not reported","20,000–21,000 bp","Not reported","Not reported","Not reported","Not reported","Lytic","Inland saline shrimp culture farms in Punjab and Haryana","Water samples","Vibrio parahaemolyticus","Vibrio parahaemolyticus host isolate Vp7PE","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.1007/s12088-021-00934-6","V5","Not reported","5,000–6,000 bp","Not reported","Filamentous","Diameter 9.10 ± 2.15 nm, length 1,194 ± 40.46 nm","Inoviridae","Lytic","Inland saline shrimp culture farms in Punjab and Haryana","Water samples","Vibrio parahaemolyticus","Vibrio parahaemolyticus host isolate Vp25","Not reported","100","Not reported","Not reported","Not reported","Not reported"
"10.1038/s41598-021-98457-z","DRL-P1","MN564818","66,243 bp","54.9%","Myoviridae","Average particle length (head to base plate): 197.47 ± 1.72 nm, head diameter: 68.89 ± 2.37 nm, head length: 93.03 ± 2.85 nm, tail length: 94.54 ± 2.52 nm, tail diameter: 16.82 ± 1.80 nm, base-plate diameter: 27.92 ± 3.03 nm","Genus Pbunavirus, Family Myoviridae","Lytic","Tezpur, Assam, India (26° 39′ 4.3848″ N and 92° 47′ 1.7268″ E)","Wastewater","Pseudomonas aeruginosa","Pseudomonas aeruginosa (isolated from wastewater/Cetrimide agar)","Small but clear plaques of approximately 2 ± 0.23 mm diameter","Tested range: 0.001 to 100 (MOI 0.1 used for growth kinetics; MOI 1.0 optimal for decontamination; MOI 10 optimal for biofilm degradation)","30 min","100 PFU per infected cell","37 °C (standard incubation/propagation temperature; stable from 4 °C to 50 °C)","6.0 - 8.0"
"10.1016/j.bpj.2017.08.043","T4 phage","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.1016/j.micres.2019.126300","vB_Psp.S_PRɸL2","Not reported","25.403 kb","Not reported","Siphoviridae","isometric head of 72 nm and an extremely long, more of the less flexible tail of about 383 x 12 nm","Siphoviridae","Lytic","Pavana river, Pimpri, Pune","river water","Pseudomonas sp.","Pseudomonas sp. SK 10","circular","0.1","20 min","85 ( ± 4)","4 to 50 °C","6–9"
"10.1016/j.micres.2019.126300","vB_Psp.M_SSɸL8","Not reported","29.877 kb","Not reported","Myoviridae","isometric head of 59 nm and a contractile tail of 101 x 17 nm in the extended state","Myoviridae","Lytic","Solapur Soil (blight infested pomegranate orchard), Solapur","soil","Pseudomonas sp.","Pseudomonas sp. SK 10","circular","0.01","10–20 min","24 ( ± 5)","4 to 50 °C","4–8"
"10.1155/2014/151952","NOC1","KF879861","34189","56.70","Not reported","Not reported","Not reported","Lytic","Dairy industry ETP, Nagpur, India","Wastewater","Nocardia rhodochrous","Nocardia rhodochrous","Clear plaques","Not reported","Not reported","Not reported","30","Not reported"
"10.1155/2014/151952","NOC2","KF879862","28456","61.17","Not reported","Not reported","Not reported","Lytic","ETP, Nagpur, India","Wastewater","Nocardia amarae, Nocardia pinensis","Nocardia amarae, Nocardia pinensis","Clear plaques","Not reported","Not reported","Not reported","30","Not reported"
"10.1155/2014/151952","NOC3","KF879863","28465","67.49","Not reported","Not reported","Not reported","Lytic","Dairy industry ETP, Nagpur, India","Wastewater","Nocardia pinensis","Nocardia pinensis","Clear plaques","Not reported","Not reported","Not reported","30","Not reported"
"10.3389/fmicb.2019.01876","Sfin-1","MF468274","50,403","45.2","Siphoviridae","isometric head (61 nm) and a non-contractile tail (155 nm)","Siphoviridae","Lytic","River Ganges, near Serampore, Hooghly district, West Bengal, India","Water sample","Shigella flexneri","Shigella flexneri 2a (1A)","clear lytic plaques with size ranging from 1.5 to 2.0 mm in diameter and well defined boundaries","0.1","5","27-28","37","7.0"
"10.3389/fmicb.2019.01876","Sfin-1","MF468274","50,403","45.2","Siphoviridae","isometric head (61 nm) and a non-contractile tail (155 nm)","Siphoviridae","Lytic","River Ganges, near Serampore, Hooghly district, West Bengal, India","Water sample","Shigella dysenteriae","Shigella dysenteriae 1 (1A) (Strain ID BCH5762)","clear lytic plaques with size ranging from 1.5 to 2.0 mm in diameter and well defined boundaries","0.1","5","127-28","37","7.0"
"10.3389/fmicb.2019.01876","Sfin-1","MF468274","50,403","45.2","Siphoviridae","isometric head (61 nm) and a non-contractile tail (155 nm)","Siphoviridae","Lytic","River Ganges, near Serampore, Hooghly district, West Bengal, India","Water sample","Shigella sonnei","Shigella sonnei (strain ID BCH7084)","clear lytic plaques with size ranging from 1.5 to 2.0 mm in diameter and well defined boundaries","0.1","10","146","37","7.0"
"10.3389/fmicb.2019.00574","Escherichia virus myPSH2311","MG976803","68,712","42.4","Phieco32virus","icosahedral head of 33 ± 3.0 nm, a non-contractile tail length of 65 ± 2.5 nm","Phieco32virus","Lytic","Tamil Nadu, India","sewage water samples","Escherichia coli","E. coli ec311","Not reported","0.001","26","110","37","4-11"
"10.3389/fmicb.2019.00574","Klebsiella virus myPSH1235","MG972768","45,135","53.7","Podoviridae","icosahedral head of 80 ± 4.5 nm and very short non-contractile tail","Podoviridae","Lytic","Tamil Nadu, India","sewage water samples","Klebsiella pneumoniae","K. pneumoniae kp235","Not reported","0.001","40","120","37","4-11"
"10.3389/fmicb.2019.00574","Enterobacter virus myPSH1140","MG999954","172,614","39.9","Myoviridae","elongated head of approximately 80 ± 2.0 nm and long contractile tail of 101 ± 3.5 nm","Myoviridae","Lytic","Tamil Nadu, India","sewage water samples","Enterobacter species","E. cloacae el140","Not reported","0.001","11","135","37","4-11"
"10.14202/vetworld.2017.973-978","BsHR1","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Lytic","Dairy cattle farm and buffalo farm, Anjora, Durg, Chhattisgarh, India","Animal waste disposal","Bacillus subtilis","Bacillus subtilis","Small sized pin headed, clear plaque","Not reported","Not reported","Not reported","Not reported","5-9"
"10.14202/vetworld.2017.973-978","BsHR2","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Lytic","Dairy cattle farm and buffalo farm, Anjora, Durg, Chhattisgarh, India","Animal waste disposal","Bacillus subtilis","Bacillus subtilis","Small sized diffused/opaque plaque","Not reported","Not reported","Not reported","Not reported","5-9"
"10.14202/vetworld.2017.973-978","BsHR3","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Lytic","Dairy cattle farm and buffalo farm, Anjora, Durg, Chhattisgarh, India","Animal waste disposal","Bacillus subtilis","Bacillus subtilis","Large sized clear plaque","Not reported","Not reported","Not reported","Not reported","5-9"
"10.14202/vetworld.2017.973-978","EHR1","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Lytic","Dairy cattle farm and buffalo farm, Anjora, Durg, Chhattisgarh, India","Animal waste disposal","Escherichia coli","Escherichia coli","Small sized, clear plaque","Not reported","Not reported","Not reported","Not reported","5-9"
"10.14202/vetworld.2017.973-978","EHR2","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Lytic","Dairy cattle farm and buffalo farm, Anjora, Durg, Chhattisgarh, India","Animal waste disposal","Escherichia coli","Escherichia coli","Large sized diffused plaques","Not reported","Not reported","Not reported","Not reported","5-9"
"10.14202/vetworld.2017.973-978","EHR3","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Lytic","Dairy cattle farm and buffalo farm, Anjora, Durg, Chhattisgarh, India","Animal waste disposal","Escherichia coli","Escherichia coli","Elevated types haloed plaques","Not reported","Not reported","Not reported","Not reported","5-9"
"10.4103/jgid.jgid_37_17","A2, A10, A12, A13","Not reported","Not reported","Not reported","podophage","isometric heads (~48–67 nm) and short stubby tails (~12–17 nm)","podophage","Lytic","Kolkata, India","sewage water","Vibrio cholerae","V. cholerae MAK 757","large clear plaques","Not reported","Not reported","Not reported","4, 37, and 45°C","7.0 and 8.0"
"10.4103/jgid.jgid_37_17","A4","Not reported","Not reported","Not reported","myophage","isometric head (~80 nm) and contractile tail (~108 nm)","myophage","Lytic","Kolkata, India","sewage water","Vibrio cholerae","V. cholerae MAK 757","small clear plaques","Not reported","Not reported","Not reported","4, 37, and 45°C","7.0 and 8.0"
"10.1371/journal.pone.0179245","PA DP4","Not reported (Ambiguous: Paper provides a single accession for 'sequencing data')","Not reported","Not reported","Not reported","Not reported","Not reported","Lytic","Rajiv Gandhi Institute of Medical Science (RIMS), Kadapa, A.P.","Sewage water","Pseudomonas aeruginosa","MDR-P. aeruginosa","numerous small and circular shaped plaques","1 and 10","Not reported","Not reported","37°C","Not reported"
"10.1371/journal.pone.0179245","KP DP1","Not reported (Ambiguous: Paper provides a single accession for 'sequencing data')","Not reported","Not reported","Not reported","Not reported","Not reported","Lytic","Rajiv Gandhi Institute of Medical Science (RIMS), Kadapa, A.P.","Sewage water","Klebsiella pneumoniae","MDR-K. pneumoniae","plaque sizes ranging from small to large with circular shapes","1 and 10","Not reported","Not reported","37°C","Not reported"
"10.1371/journal.pone.0179245","SA DP1","Not reported (Ambiguous: Paper provides a single accession for 'sequencing data')","Not reported","Not reported","Not reported","Not reported","Not reported","Lytic","Rajiv Gandhi Institute of Medical Science (RIMS), Kadapa, A.P.","Sewage water","Staphylococcus aureus","MDR-S. aureus","well demarcated isolated big plaques","1 and 10","Not reported","Not reported","37°C","Not reported"
"10.1371/journal.pone.0179245","EC DP3","Not reported (Ambiguous: Paper provides a single accession for 'sequencing data')","Not reported","Not reported","Not reported","Not reported","Not reported","Lytic","Rajiv Gandhi Institute of Medical Science (RIMS), Kadapa, A.P.","Sewage water","Escherichia coli","MDR-E. coli","multiple small and irregular elongated plaques","1 and 10","Not reported","Not reported","37°C","Not reported"
"10.4103/jgid.jgid_110_19","Not reported","Not reported","Not reported","Not reported","Siphoviridae family","hexagonal head about 73 nm in diameter and a 100 nm long-tail","Siphoviridae","Lytic","sewage effluent of Panjab University, Chandigarh","sewage water","Enterococcus faecalis","E. faecalis ATCC29212","clear plaque","Not reported","Not reported","Not reported","37°C","Not reported"
"10.4103/0970-0218.45385","Not disclosed in abstract (Requires full PDF)","Not disclosed in abstract (Requires full PDF)","Not disclosed in abstract (Requires full PDF)","Not disclosed in abstract (Requires full PDF)","Not disclosed in abstract (Requires full PDF)","Not disclosed in abstract (Requires full PDF)","Not disclosed in abstract (Requires full PDF)","Not disclosed in abstract (Requires full PDF)","Mumbai","Not disclosed in abstract (Requires full PDF)","Vibrio cholerae","Not disclosed in abstract (Requires full PDF)","Not disclosed in abstract (Requires full PDF)","Not disclosed in abstract (Requires full PDF)","Not disclosed in abstract (Requires full PDF)","Not disclosed in abstract (Requires full PDF)","Not disclosed in abstract (Requires full PDF)","Not disclosed in abstract (Requires full PDF)"
"10.1371/journal.pone.0206278","Escherichia phage myPSH1131","KJ101592","76,163","42.3","Escherichia phage SU10, phiEco32 and NJ01","icosahedral head of approximately 45±5.0 nm and long non-contractile tail of approximately 95±5.0 nm in length","Podoviridae","Lytic","Ganges River near Varanasi region","water samples","Escherichia coli","E. coli PSH131","clear plaques","0.001","20","130 ± 10","37","3 to 13"
"10.1038/s41598-021-01419-8","2019SD1","MT360681","53150","44.5","Not reported","icosahedral capsid (60 nm dia) and a 140 nm long tail","genus Hanrivervirus of subfamily Tempevirinae under the family Drexlerviridae","Lytic","Atrauli, Aligarh, Uttar Pradesh, India","sewage water","Shigella dysenteriae, Escherichia coli, Vibrio cholerae, Enterococcus saccharolyticus and Enterococcus faecium","Shigella dysenteriae type 1","clear plaques of ~ 2.5 mm diameter","0.1","20","151","37","7.0"
"10.1016/j.nmni.2017.08.005","ΦIND772PVL","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Lysogenic","South India","MRSA isolates from patients with sepsis","Staphylococcus aureus","ST772-MRSA-V","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.1016/j.nmni.2017.08.005","ΦPVL","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Lysogenic","South India","MRSA isolates from patients with sepsis","Staphylococcus aureus","ST22-MRSA-IV, ST2371-MRSA-I/V","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.1038/s41598-021-98910-z","Sfk20","MW341595","164,878","35.62","T4 myoviridae bacteriophage group","prolate head of 91.08 ± 4.92 nm (length), 62.34 ± 4.82 nm (width), and a long contractile tail with 99.59 ± 4.92 nm (length) 18.66 ± 2.52 nm width","Myoviridae family, Caudovirales order","Lytic","Kolkata (India)","water bodies of a diarrheal outbreak area","Shigella flexneri, Shigella sonnei, and Shigella dysenteriae","Shigella flexneri 2a 2457T","clear plaques","0.1","20","123","4","7–9"
"10.1186/1746-6148-9-264","Pseudomonas phage MBL","KC969441","42519","Not reported","Not reported","Not reported","Not reported","Lytic","Not reported","wastewater","Pseudomonas aeruginosa","Clarias gariepinus","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported"
"10.3389/fmicb.2021.644013","HCF1","MN545971","45800","44.5","Drexlerviridae family","icosahedral head of 66 ± 6 nm dia and a tail of 233 ± 4 nm dia","Tempevirinae subfamily of the Drexlerviridae family","Lytic","Defence Research and Development Establishment (DRDE) campus (26°19′ N, 78°17′ E), Gwalior, India","sewage water","Citrobacter amalonaticus and Citrobacter freundii","Citrobacter amalonaticus NAIMCC 1364","conspicuous plaques with a diameter of about 4 mm","10 (5 h) and 100 (4 h)","30","121","37","7.0"
